Record ID,Timestamp,Solar Radiation Sensor
9554278,2024-01-06 04:01:10,0
9554279,2024-01-06 04:01:50,0
9554282,2024-01-06 04:02:15,0
9554285,2024-01-06 04:02:50,0
9554288,2024-01-06 04:03:15,0
9554289,2024-01-06 04:03:50,0
9554291,2024-01-06 04:04:15,0
9554292,2024-01-06 04:04:45,0
9554295,2024-01-06 04:05:45,0
9554296,2024-01-06 04:06:10,0
9554299,2024-01-06 04:06:45,0
9554300,2024-01-06 04:07:10,0
9554301,2024-01-06 04:07:45,0
9554303,2024-01-06 04:08:10,0
9554304,2024-01-06 04:08:45,0
9554305,2024-01-06 04:09:10,0
9554306,2024-01-06 04:10:10,0
9554308,2024-01-06 04:10:45,0
9554311,2024-01-06 04:11:10,0
9554314,2024-01-06 04:11:45,0
9554315,2024-01-06 04:12:45,0
9554317,2024-01-06 04:13:10,0
9554319,2024-01-06 04:13:45,0
9554321,2024-01-06 04:14:45,0
9554323,2024-01-06 04:15:45,0
9554324,2024-01-06 04:16:10,0
9554327,2024-01-06 04:16:45,0
9554328,2024-01-06 04:17:10,0
9554329,2024-01-06 04:17:45,0
9554331,2024-01-06 04:18:10,0
9554334,2024-01-06 04:18:45,0
9554336,2024-01-06 04:19:45,0
9554339,2024-01-06 04:20:45,0
9554342,2024-01-06 04:21:45,0
9554344,2024-01-06 04:22:15,0
9554346,2024-01-06 04:22:45,0
9554347,2024-01-06 04:23:45,0
9554348,2024-01-06 04:24:10,0
9554350,2024-01-06 04:24:45,0
9554352,2024-01-06 04:25:10,0
9554354,2024-01-06 04:26:11,0
9554357,2024-01-06 04:27:11,0
9554358,2024-01-06 04:27:46,0
9554360,2024-01-06 04:28:11,0
9554361,2024-01-06 04:28:46,0
9554364,2024-01-06 04:29:46,0
9554366,2024-01-06 04:30:46,0
9554367,2024-01-06 04:31:46,0
9554368,2024-01-06 04:32:46,0
9554369,2024-01-06 04:33:46,0
9554371,2024-01-06 04:34:11,0
9554373,2024-01-06 04:35:11,0
9554376,2024-01-06 04:35:46,0
9554378,2024-01-06 04:36:11,0
9554380,2024-01-06 04:36:46,0
9554383,2024-01-06 04:37:46,0
9554385,2024-01-06 04:38:46,0
9554387,2024-01-06 04:39:46,0
9554388,2024-01-06 04:40:11,0
9554389,2024-01-06 04:40:46,0
9554391,2024-01-06 04:41:46,0
9554393,2024-01-06 04:42:11,0
9554394,2024-01-06 04:43:11,0
9554396,2024-01-06 04:43:46,0
9554399,2024-01-06 04:44:11,0
9554402,2024-01-06 04:44:51,0
9554405,2024-01-06 04:45:11,0
9554408,2024-01-06 04:45:56,0
9554411,2024-01-06 04:47:21,0
9554416,2024-01-06 04:48:36,0
9554415,2024-01-06 04:49:01,0
9554418,2024-01-06 04:50:06,0
9554419,2024-01-06 04:50:51,0
9554421,2024-01-06 04:51:26,0
9554426,2024-01-06 04:52:31,0
9554427,2024-01-06 04:52:51,0
9554429,2024-01-06 04:53:26,0
9554432,2024-01-06 04:53:51,0
9554433,2024-01-06 04:54:21,0
9554435,2024-01-06 04:54:56,0
9554436,2024-01-06 04:55:41,0
9554438,2024-01-06 04:56:46,0
9554439,2024-01-06 04:57:11,0
9554442,2024-01-06 04:57:46,0
9554445,2024-01-06 04:58:46,0
9554448,2024-01-06 04:59:41,0
9554449,2024-01-06 05:00:46,0
9554452,2024-01-06 05:01:41,0
9554455,2024-01-06 05:02:06,0
9554457,2024-01-06 05:02:41,0
9554459,2024-01-06 05:03:41,0
9554461,2024-01-06 05:04:41,0
9554463,2024-01-06 05:05:41,0
9554465,2024-01-06 05:06:06,0
9554466,2024-01-06 05:06:46,0
9554469,2024-01-06 05:07:41,0
9554472,2024-01-06 05:08:42,0
9554475,2024-01-06 05:09:42,0
9554476,2024-01-06 05:10:12,0
9554478,2024-01-06 05:10:42,0
9554480,2024-01-06 05:11:42,0
9554483,2024-01-06 05:12:07,0
9554485,2024-01-06 05:13:07,0
9554486,2024-01-06 05:13:42,0
9554487,2024-01-06 05:14:42,0
9554490,2024-01-06 05:15:07,0
9554492,2024-01-06 05:15:42,0
9554495,2024-01-06 05:16:42,0
9554498,2024-01-06 05:17:07,0
9554501,2024-01-06 05:17:42,0
9554503,2024-01-06 05:18:42,0
9554506,2024-01-06 05:19:42,0
9554509,2024-01-06 05:20:47,0
9554510,2024-01-06 05:21:42,0
9554512,2024-01-06 05:22:42,0
9554514,2024-01-06 05:23:42,0
9554516,2024-01-06 05:24:42,0
9554517,2024-01-06 05:25:42,0
9554519,2024-01-06 05:26:42,0
9554522,2024-01-06 05:27:07,0
9554524,2024-01-06 05:27:42,0
9554526,2024-01-06 05:28:42,0
9554529,2024-01-06 05:29:07,0
9554532,2024-01-06 05:29:42,0
9554534,2024-01-06 05:30:07,0
9554537,2024-01-06 05:30:47,0
9554538,2024-01-06 05:31:47,0
9554540,2024-01-06 05:32:07,0
9554542,2024-01-06 05:32:42,0
9554545,2024-01-06 05:33:42,0
9554547,2024-01-06 05:34:42,0
9554548,2024-01-06 05:35:07,0
9554550,2024-01-06 05:35:42,0
9554552,2024-01-06 05:36:42,0
9554553,2024-01-06 05:37:07,0
9554554,2024-01-06 05:37:42,0
9554555,2024-01-06 05:38:07,0
9554556,2024-01-06 05:38:42,0
9554559,2024-01-06 05:39:42,0
9554561,2024-01-06 05:40:07,0
9554562,2024-01-06 05:40:42,0
9554563,2024-01-06 05:41:42,0
9554566,2024-01-06 05:42:43,0
9554568,2024-01-06 05:43:08,0
9554571,2024-01-06 05:43:43,0
9554573,2024-01-06 05:44:08,0
9554575,2024-01-06 05:45:08,0
9554576,2024-01-06 05:45:43,0
9554578,2024-01-06 05:46:08,0
9554579,2024-01-06 05:46:43,0
9554581,2024-01-06 05:47:43,0
9554584,2024-01-06 05:48:08,0
9554587,2024-01-06 05:48:43,0
9554590,2024-01-06 05:49:08,0
9554591,2024-01-06 05:49:43,0
9554593,2024-01-06 05:50:43,0
9554596,2024-01-06 05:51:08,0
9554597,2024-01-06 05:51:43,0
9554598,2024-01-06 05:52:43,0
9554599,2024-01-06 05:53:08,0
9554601,2024-01-06 05:53:43,0
9554602,2024-01-06 05:54:43,0
9554605,2024-01-06 05:55:08,0
9554608,2024-01-06 05:55:43,0
9554609,2024-01-06 05:56:43,0
9554611,2024-01-06 05:57:08,0
9554614,2024-01-06 05:57:48,0
9554615,2024-01-06 05:58:08,0
9554618,2024-01-06 05:59:08,0
9554619,2024-01-06 05:59:43,0
9554620,2024-01-06 06:00:08,0
9554622,2024-01-06 06:00:43,0
9554625,2024-01-06 06:01:13,0
9554627,2024-01-06 06:01:48,0
9554630,2024-01-06 06:02:43,0
9554633,2024-01-06 06:03:08,0
9554635,2024-01-06 06:03:43,0
9554637,2024-01-06 06:04:43,0
9554640,2024-01-06 06:05:08,0
9554641,2024-01-06 06:05:48,0
9554643,2024-01-06 06:06:43,0
